Sample ID (TARA_barcode#, registered at ...)	Sample ID (BioSamples accession number (...)	Sample ID (ENA sample accession number (...)	Basis	Campaign	Station (TARA_station#, registered at ...)	Method/Device	Event	Date/Time	Latitude	Longitude	Env feature ([abbreviation], full name (EN...)	Depth, nominal (from which this sample was co...)	Depth top [m] (from which this sample was co...)	Depth bot [m] (from which this sample was co...)	Fraction lower [µm] (used on board to prepare samp...)	Fraction upper [µm] (used on board to prepare samp...)	Sample material (TARA_station#_environmental-f...)	Sample method (short label describing the ta...)	Sample label (TARA_event-datetime_station#_...)	Env feature (about the thickness of the la...)	Env feature (about the pelagic zone (e.g. ...)	Env feature (about the light environment (...)	Env feature (about the oxygen environment ...)	Env feature (about the nutrient environmen...)	Env feature (about the aggregation of phot...)	Env feature (about vertical stratification...)	Env feature (about connectivity with the b...)	Env feature (about other information provi...)	Env feature (about the oxygen environment ...)	Env feature (about the nutrient environmen...)	Env feature (about the aggregation of phot...)	Kd490 [1/m] (at the sampling location and ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	Kd490 [1/m] (at the sampling location for ...)	bbp470 [1/m] ((443 nm) at the sampling loca...)	acCDOM [1/m] ((443 nm) at the sampling loca...)	Kd(PAR) [1/m] (Kd(PAR)1 is calculated for a ...)	Kd(PAR) [1/m] (Kd(PAR)2 is calculated for a ...)	z(SD) [m] (Measured in situ)	z(eu) [m] (at the sampling location for ...)	z(eu) [m] (zeu(0.415) is the depth of th...)	z(eu) [m] (zeu(0.415) is the depth of th...)	z(eu) [m] (zeu(0.415) is the depth of th...)	UMLD [m] (based on sigma theta, calcula...)	UMLD [m] (based on temperature, calcula...)	D chl m [m] (calculated from in situ senso...)	Depth max Brunt Väisälä freq [m] (calculated from in situ senso...)	Depth max O2 [m] (calculated from in situ senso...)	Depth min O2 [m] (calculated from in situ senso...)	Depth nitracline [m] (calculated from in situ senso...)	Temp [°C] (at a depth of 10 m, below the...)	Temp [°C] (at the base of the euphotic z...)	Temp [°C] (at the base of the euphotic z...)	Temp [°C] (at the depth of the mixed lay...)	Temp [°C] (at the depth of the mixed lay...)	Temp [°C] (at the depth of maximum chlor...)	Temp [°C] (at the depth of maximum Brunt...)	Temp [°C] (at the depth of maximum oxyge...)	Temp [°C] (at the depth of minimum oxyge...)	Temp [°C] (at the depth of the nitraclin...)	Sal (at a depth of 10 m, below the...)	Sal (at the base of the euphotic z...)	Sal (at the base of the euphotic z...)	Sal (at the depth of the mixed lay...)	Sal (at the depth of the mixed lay...)	Sal (at the depth of maximum chlor...)	Sal (at the depth of maximum Brunt...)	Sal (at the depth of maximum oxyge...)	Sal (at the depth of minimum oxyge...)	Sal (at the depth of the nitraclin...)	Sigma-theta [kg/m**3] (at a depth of 10 m, below the...)	Sigma-theta [kg/m**3] (at the base of the euphotic z...)	Sigma-theta [kg/m**3] (at the base of the euphotic z...)	Sigma-theta [kg/m**3] (at the depth of the mixed lay...)	Sigma-theta [kg/m**3] (at the depth of the mixed lay...)	Sigma-theta [kg/m**3] (at the depth of maximum chlor...)	Sigma-theta [kg/m**3] (at the depth of maximum Brunt...)	Sigma-theta [kg/m**3] (at the depth of maximum oxyge...)	Sigma-theta [kg/m**3] (at the depth of minimum oxyge...)	Sigma-theta [kg/m**3] (at the depth of the nitraclin...)	N**2 [1/s**2] (at a depth of 10 m, below the...)	N**2 [1/s**2] (at the base of the euphotic z...)	N**2 [1/s**2] (at the base of the euphotic z...)	N**2 [1/s**2] (at the depth of the mixed lay...)	N**2 [1/s**2] (at the depth of the mixed lay...)	N**2 [1/s**2] (at the depth of maximum chlor...)	N**2 [1/s**2] (at the depth of maximum Brunt...)	N**2 [1/s**2] (at the depth of maximum oxyge...)	N**2 [1/s**2] (at the depth of minimum oxyge...)	N**2 [1/s**2] (at the depth of the nitraclin...)	Chl a [mg/m**3] (at a depth of 10 m, below the...)	Chl a [mg/m**3] (at the base of the euphotic z...)	Chl a [mg/m**3] (at the base of the euphotic z...)	Chl a [mg/m**3] (at the depth of the mixed lay...)	Chl a [mg/m**3] (at the depth of the mixed lay...)	Chl a [mg/m**3] (at the depth of maximum chlor...)	Chl a [mg/m**3] (at the depth of maximum Brunt...)	Chl a [mg/m**3] (at the depth of maximum oxyge...)	Chl a [mg/m**3] (at the depth of minimum oxyge...)	Chl a [mg/m**3] (at the depth of the nitraclin...)	OXYGEN [µmol/kg] (at a depth of 10 m, below the...)	OXYGEN [µmol/kg] (at the base of the euphotic z...)	OXYGEN [µmol/kg] (at the base of the euphotic z...)	OXYGEN [µmol/kg] (at the depth of the mixed lay...)	OXYGEN [µmol/kg] (at the depth of the mixed lay...)	OXYGEN [µmol/kg] (at the depth of maximum chlor...)	OXYGEN [µmol/kg] (at the depth of maximum Brunt...)	OXYGEN [µmol/kg] (at the depth of maximum oxyge...)	OXYGEN [µmol/kg] (at the depth of minimum oxyge...)	OXYGEN [µmol/kg] (at the depth of the nitraclin...)	[NO3]- [µmol/l] (at a depth of 10 m, below the...)	[NO3]- [µmol/l] (at the base of the euphotic z...)	[NO3]- [µmol/l] (at the base of the euphotic z...)	[NO3]- [µmol/l] (at the depth of the mixed lay...)	[NO3]- [µmol/l] (at the depth of the mixed lay...)	[NO3]- [µmol/l] (at the depth of maximum chlor...)	[NO3]- [µmol/l] (at the depth of maximum Brunt...)	[NO3]- [µmol/l] (at the depth of maximum oxyge...)	[NO3]- [µmol/l] (at the depth of minimum oxyge...)	[NO3]- [µmol/l] (at the depth of the nitraclin...)
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_A100000172	SAMEA2619686	ERS488354	SV Tara	TARA_20091031Z	TARA_018	High Volume Peristaltic Pump	TARA_20091102T1407Z_018_EVENT_PUMP	2009-11-02T14:07	35.7528	14.2765	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	<0.22	0.22	TARA_018_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091102T1407Z_018_EVENT_PUMP_DCM_(60m)_SEQ-(FeCl3)_W<0.22_A100000172	discrete depth	within the epipelagic zone (ENVO:00000209)	within the photic zone (ENVO:00000209)	none	none	<50 m from a strong peak in chlorophyll fluorescence	near the base of a marine epipelagic wind mixed layer (ENVO:01000061)	none	shallowest of two similar environmental features	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location	0.02991	0.03126	0.031431	0.035905798897147	0.054332526400685	0.000863025314175	0.014998222701252	0.070597463	0.055473669		84.9423522949219		58	74	31	50	82	60	58	580		21.486	21.194	18.119	21.4271	21.3424	16.9299	18.0323	18.2811	13.9188		38.0758	38.1052	38.1489	38.091	38.1091	38.2224	37.9679	37.9801	38.9647		26.5688	26.6749	27.5242	26.598	26.6364	27.875	27.4078	27.3542	29.1512		1.9963E-05	0.00018358	0.00021336	1.0151E-05	0.00018858	6.5342E-05	0.00026597	0.00053764	1.71E-07		0.066985	0.091086	0.1372	0.071333	0.085029	0.1733	0.13685	0.13444	0		209.0069	218.7818	237.5691	208.6297	210.0882	231.5733	240.7859	240.2034	174.0543											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_S200002703	SAMEA2619747	ERS488448	SV Tara	TARA_20091111Z	TARA_022	High Volume Peristaltic Pump	TARA_20091116T0816Z_022_EVENT_PUMP	2009-11-16T08:16	39.8386	17.4155	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_022_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091116T0816Z_022_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_S200002703	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	none		0.06248	0.065649	0.063425460830331	0.08749070763588	0.001765166933183	0.046773292124271	0.123565157	0.105445871		50.1125354766846		31	37	14	48	34	55	14	207		16.8931	17.2995	17.3505	16.7518	16.8001	17.3037	15.9471	16.7518	13.7931		37.9037	38.1954	38.2535	37.8927	38.3092	38.2055	38.4318	37.8927	38.8415		27.6372	27.7622	27.7943	27.663	27.9713	27.769	28.2679	27.663	29.0711		3.8055E-05	2.3672E-05	9.5566E-05	0.00020813	0.00043227	6.4796E-05	0.00061889	0.00020813	2.831E-06		0.22632	0.22713	0.22546	0.24256	0.18188	0.22713	0.12358	0.24256	0.040949		222.4065	221.1078	220.8	226.7172	219.0469	220.6442	218.5264	226.7172	190.1556											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_E500000075	SAMEA2591084	ERS477979	SV Tara	TARA_20091111Z	TARA_023	High Volume Peristaltic Pump	TARA_20091118T0841Z_023_EVENT_PUMP	2009-11-18T08:41	42.2038	17.715	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_023_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20091118T0841Z_023_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_E500000075	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	presence of a weak peak in chlorophyll fluorescence at the sampling location			0.052869					0.10722309	0.089820748	21		59	33	40	14	16	58	3	37	115		17.5562	16.1024	15.8221	17.4503	17.4088	14.6418	17.6996	16.0208	13.9118		38.4547	38.4872	38.5429	38.4562	38.4508	38.718	38.222	38.5078	38.8944		27.8959	28.2732	28.3818	27.9235	27.9297	28.7856	27.6823	28.3082	29.0833		4.8337E-05	9.2156E-05	0.00023524	7.6316E-05	6.4235E-05			0.00015716	6.985E-06		0.16578	0.18683	0.20139	0.16578	0.16609	0.26944		0.19493	0.040949		220.2301	226.7053	226.1499	219.6198	221.5451	222.973	219.9148	226.0092	191.9056											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_E500000081	SAMEA2591098	ERS477998	SV Tara	TARA_20091111Z	TARA_023	High Volume Peristaltic Pump	TARA_20091118T1240Z_023_EVENT_PUMP	2009-11-18T13:50	42.1735	17.7252	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	55	53	57	0.22	1.6	TARA_023_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20091118T1240Z_023_EVENT_PUMP_DCM_(55m)_SEQ-(100L)_W0.22-1.6_E500000081	discrete depth	within the epipelagic zone (ENVO:00000209)	at the interface of the photic zone (ENVO:00000209) and the aphotic zone (ENVO:00000210)	none	none	<10 m from a strong peak in chlorophyll fluorescence	none	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location			0.052869					0.10722309	0.089820748	21		59	33	40	11	12	58	58	43	160		16.9499	16.4474	16.0587	16.8553	16.7808	15.4425	15.4425	16.0486	13.8428		38.3945	38.3784	38.4637	38.3915	38.3888	38.628	38.628	38.466	38.8953		27.9988	28.1082	28.2657	28.0194	28.0353	28.5353	28.5353	28.2699	29.1004		0.00012242	5.1975E-05	8.4398E-05	0.00011272	6.9127E-05	0.00070864	0.00070864	2.9642E-05	1.6776E-05		0.113	0.16578	0.19444	0.1299	0.1299	0.26602	0.26602	0.21249	0.040949		222.6223	224.3342	225.8266	224.1602	224.2678	223.4427	223.4427	226.2376	191.468											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_E500000082	SAMEA2591107	ERS478007	SV Tara	TARA_20091111Z	TARA_023	High Volume Peristaltic Pump	TARA_20091118T1240Z_023_EVENT_PUMP	2009-11-18T13:50	42.1735	17.7252	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	55	53	57	<0.22	0.22	TARA_023_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091118T1240Z_023_EVENT_PUMP_DCM_(55m)_SEQ-(FeCl3)_W<0.22_E500000082	discrete depth	within the epipelagic zone (ENVO:00000209)	at the interface of the photic zone (ENVO:00000209) and the aphotic zone (ENVO:00000210)	none	none	<10 m from a strong peak in chlorophyll fluorescence	none	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location			0.052869					0.10722309	0.089820748	21		59	33	40	11	12	58	58	43	160		16.9499	16.4474	16.0587	16.8553	16.7808	15.4425	15.4425	16.0486	13.8428		38.3945	38.3784	38.4637	38.3915	38.3888	38.628	38.628	38.466	38.8953		27.9988	28.1082	28.2657	28.0194	28.0353	28.5353	28.5353	28.2699	29.1004		0.00012242	5.1975E-05	8.4398E-05	0.00011272	6.9127E-05	0.00070864	0.00070864	2.9642E-05	1.6776E-05		0.113	0.16578	0.19444	0.1299	0.1299	0.26602	0.26602	0.21249	0.040949		222.6223	224.3342	225.8266	224.1602	224.2678	223.4427	223.4427	226.2376	191.468											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_E500000178	SAMEA2619766	ERS488486	SV Tara	TARA_20091122Z	TARA_025	High Volume Peristaltic Pump	TARA_20091123T0912Z_025_EVENT_PUMP	2009-11-23T09:12	39.3888	19.3905	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_025_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20091123T0912Z_025_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_E500000178	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	presence of a weak peak in chlorophyll fluorescence at the sampling location		0.055318	0.050459	0.04777667671442	0.070545572787523	0.000881349697011	0.033868847414851	0.103855	0.086621301		64.5722255706787		36	44	30	30	54	41	37	174		18.3442	16.6211	15.4533	18.1747	18.1747	14.8883	15.8475	16.6211	14.5692		38.3639	38.5533	38.6511	38.3337	38.3337	38.6785	38.62	38.5533	39.0629		27.6286	28.2006	28.5502	27.6495	27.6495	28.6999	28.4349	28.2006	29.0709		1.343E-06	0.0010696	0.00019974	6.1926E-05	6.1926E-05	0.00017761	0.0002661	0.0010696	7.412E-06		0.12824	0.1519	0.16578	0.14439	0.14439	0.21722	0.16578	0.1519	0.0031751		218.1531	241.7386	235.4839	220.0572	220.0572	227.8179	241.8026	241.7386	184.4911											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_E500000318	SAMEA2619779	ERS488499	SV Tara	TARA_20091122Z	TARA_025	High Volume Peristaltic Pump	TARA_20091123T0912Z_025_EVENT_PUMP	2009-11-23T09:12	39.3888	19.3905	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_025_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091123T0912Z_025_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_E500000318	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	presence of a weak peak in chlorophyll fluorescence at the sampling location		0.055318	0.050459	0.04777667671442	0.070545572787523	0.000881349697011	0.033868847414851	0.103855	0.086621301		64.5722255706787		36	44	30	30	54	41	37	174		18.3442	16.6211	15.4533	18.1747	18.1747	14.8883	15.8475	16.6211	14.5692		38.3639	38.5533	38.6511	38.3337	38.3337	38.6785	38.62	38.5533	39.0629		27.6286	28.2006	28.5502	27.6495	27.6495	28.6999	28.4349	28.2006	29.0709		1.343E-06	0.0010696	0.00019974	6.1926E-05	6.1926E-05	0.00017761	0.0002661	0.0010696	7.412E-06		0.12824	0.1519	0.16578	0.14439	0.14439	0.21722	0.16578	0.1519	0.0031751		218.1531	241.7386	235.4839	220.0572	220.0572	227.8179	241.8026	241.7386	184.4911											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_E500000331	SAMEA2619782	ERS488509	SV Tara	TARA_20091122Z	TARA_025	High Volume Peristaltic Pump	TARA_20091123T1352Z_025_EVENT_PUMP	2009-11-23T13:52	39.3991	19.3997	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	0.22	1.6	TARA_025_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20091123T1352Z_025_EVENT_PUMP_DCM_(50m)_SEQ-(100L)_W0.22-1.6_E500000331	discrete depth	within the epipelagic zone (ENVO:00000209)	at the interface of the photic zone (ENVO:00000209) and the aphotic zone (ENVO:00000210)	none	none	none	<50 m below a marine epipelagic wind mixed layer (ENVO:01000061)	none	none	none	none	presence of a weak peak in chlorophyll fluorescence at the sampling location		0.055318	0.050459	0.050079463049769	0.072608891874552	0.001137407321949	0.03444005921483	0.103855	0.086621301		61.9281349182129		36	44	30	31	47	44	39	785		18.4206	17.0755	15.5634	18.2844	18.2427	15.3943	15.6482	16.682	13.7993		38.3755	38.4782	38.5891	38.3638	38.3626	38.6191	38.5821	38.5359	38.9462		27.618	28.0332	28.4772	27.6446	27.6544	28.5393	28.4523	28.1728	29.1694		8.673E-06	0.0012459	0.00029771	6.7714E-05	6.372E-05		0.00035893	0.00068955			0.1299	0.17281	0.18612	0.12758	0.1299	0.1878	0.18565	0.17281	0.0081429		217.1568	237.6633	238.2795	218.1565	218.5947	240.0798	236.2596	237.1271	173.0524											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_E500000306	SAMEA2619791	ERS488518	SV Tara	TARA_20091122Z	TARA_025	High Volume Peristaltic Pump	TARA_20091123T1352Z_025_EVENT_PUMP	2009-11-23T13:52	39.3991	19.3997	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	50	48	52	<0.22	0.22	TARA_025_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091123T1352Z_025_EVENT_PUMP_DCM_(50m)_SEQ-(FeCl3)_W<0.22_E500000306	discrete depth	within the epipelagic zone (ENVO:00000209)	at the interface of the photic zone (ENVO:00000209) and the aphotic zone (ENVO:00000210)	none	none	none	<50 m below a marine epipelagic wind mixed layer (ENVO:01000061)	none	none	none	none	presence of a weak peak in chlorophyll fluorescence at the sampling location		0.055318	0.050459	0.050079463049769	0.072608891874552	0.001137407321949	0.03444005921483	0.103855	0.086621301		61.9281349182129		36	44	30	31	47	44	39	785		18.4206	17.0755	15.5634	18.2844	18.2427	15.3943	15.6482	16.682	13.7993		38.3755	38.4782	38.5891	38.3638	38.3626	38.6191	38.5821	38.5359	38.9462		27.618	28.0332	28.4772	27.6446	27.6544	28.5393	28.4523	28.1728	29.1694		8.673E-06	0.0012459	0.00029771	6.7714E-05	6.372E-05		0.00035893	0.00068955			0.1299	0.17281	0.18612	0.12758	0.1299	0.1878	0.18565	0.17281	0.0081429		217.1568	237.6633	238.2795	218.1565	218.5947	240.0798	236.2596	237.1271	173.0524											
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_A100001015	SAMEA2591108	ERS478017	SV Tara	TARA_20091214Z	TARA_030	High Volume Peristaltic Pump	TARA_20091215T1041Z_030_EVENT_PUMP	2009-12-15T10:41	33.9179	32.898	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_030_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20091215T1041Z_030_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_A100001015	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	presence of a weak peak in chlorophyll fluorescence at the sampling location			0.032747	0.032951617613435	0.051064109429717	0.000596647791099	0.01256110239774	0.073512455	0.058170928	24	94.138313293457	66	49	62	50	50	73	59	55	151	193	20.4418	20.2728	18.2018	20.2728	20.2728	17.6229	18.5097	19.603	17.1745	17.1548	39.6104	39.5872	39.3215	39.5872	39.5872	39.3732	39.3367	39.4742	39.5411	39.5464	28.0223	28.0529	28.3975	28.0529	28.0529	28.5836	28.33	28.1479	28.8264	28.8371	1.919E-06	0.00027685	0.00013913	0.00027685	0.00027685	4.6295E-05	0.00036761	0.00022701	3.471E-06	1.228E-06	0.041977	0.11119	0.15933	0.11119	0.11119	0.19548	0.14757	0.12613	0.035701	0	207.0181	210.5487	219.8152	210.5487	210.5487	213.6442	223.216	217.2072	202.3274	203.8017	-0.33118	-0.31777	-0.95977	-0.31777	-0.31777	-1.1796	-0.53659	-0.41549	-0.63971	-0.39486
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_A100001011	SAMEA2591122	ERS478040	SV Tara	TARA_20091214Z	TARA_030	Rosette Vertical Sampling System	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	2009-12-15T15:23	33.9235	32.8118	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	66	75	0.22	1.6	TARA_030_DCM_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_DCM_(70m)_SEQ-(100L)_W0.22-1.6_A100001011	discrete depth	within the epipelagic zone (ENVO:00000209)	at the interface of the photic zone (ENVO:00000209) and the aphotic zone (ENVO:00000210)	none	none	none	<50 m below a marine epipelagic wind mixed layer (ENVO:01000061)	none	none	none	none	presence of a weak peak in chlorophyll fluorescence at the sampling location			0.032076	0.034313129261136	0.053070755675435	0.000814625294879	0.011801896616817	0.072044123	0.056811516	24	89.9405860900879	67	51	65	47	52	64	67	61	129	131	20.4254	20.2395	18.6378	20.2712	20.2395	18.6785	18.5603	18.7525	17.4234	17.4132	39.6022	39.5793	39.3796	39.5828	39.5793	39.3776	39.3829	39.3778	39.5019	39.5016	28.0205	28.0561	28.33	28.0499	28.0561	28.3179	28.3526	28.2987	28.734	28.7364	3.18E-07	2.1838E-05	0.00015096	7.658E-06	2.1838E-05	7.7389E-05	0.00028111	4.7986E-05	2.46E-05	7.425E-06	0.091086	0.09594	0.13639	0.084524	0.09594	0.13639	0.1363	0.1299	0.12656	0.12966	207.3525	210.1273	221.2726	208.4784	210.1273	220.9833	221.2083	220.2338	204.9609	205.5617	0.951	-0.1394	-0.30016	0.48295	-0.1394	0.20184	-0.00083529	0.2971	0.10313	-0.012426
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_A100001374	SAMEA2591132	ERS478052	SV Tara	TARA_20091214Z	TARA_030	Rosette Vertical Sampling System	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	2009-12-15T15:23	33.9235	32.8118	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	70	66	75	<0.22	0.22	TARA_030_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_DCM_(70m)_SEQ-(FeCl3)_W<0.22_A100001374	discrete depth	within the epipelagic zone (ENVO:00000209)	at the interface of the photic zone (ENVO:00000209) and the aphotic zone (ENVO:00000210)	none	none	none	<50 m below a marine epipelagic wind mixed layer (ENVO:01000061)	none	none	none	none	presence of a weak peak in chlorophyll fluorescence at the sampling location			0.032076	0.034313129261136	0.053070755675435	0.000814625294879	0.011801896616817	0.072044123	0.056811516	24	89.9405860900879	67	51	65	47	52	64	67	61	129	131	20.4254	20.2395	18.6378	20.2712	20.2395	18.6785	18.5603	18.7525	17.4234	17.4132	39.6022	39.5793	39.3796	39.5828	39.5793	39.3776	39.3829	39.3778	39.5019	39.5016	28.0205	28.0561	28.33	28.0499	28.0561	28.3179	28.3526	28.2987	28.734	28.7364	3.18E-07	2.1838E-05	0.00015096	7.658E-06	2.1838E-05	7.7389E-05	0.00028111	4.7986E-05	2.46E-05	7.425E-06	0.091086	0.09594	0.13639	0.084524	0.09594	0.13639	0.1363	0.1299	0.12656	0.12966	207.3525	210.1273	221.2726	208.4784	210.1273	220.9833	221.2083	220.2338	204.9609	205.5617	0.951	-0.1394	-0.30016	0.48295	-0.1394	0.20184	-0.00083529	0.2971	0.10313	-0.012426
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_A100001403	SAMEA2619802	ERS488545	SV Tara	TARA_20100108Z	TARA_031	High Volume Peristaltic Pump	TARA_20100109T0715Z_031_EVENT_PUMP	2010-01-09T07:15	27.16	34.835	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	1.6	TARA_031_SRF_0.22-1.6	SEQ-(100L)_W0.22-1.6	TARA_20100109T0715Z_031_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-1.6_A100001403	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location		0.033365	0.034615	0.036789244040847	0.053215360268951	0.000741529394872	0.014418555889279	0.077421442	0.061797566		83.3841743469238		55	69	47	53	80	89	60	293	160	25.0581	24.5962	24.5032	25.0366	24.889	24.4495	23.9775	24.565	21.679	22.0808	40.1724	40.2694	40.3009	40.198	40.23	40.3667	40.4131	40.2815	40.6916	40.582	27.0952	27.3144	27.3677	27.1238	27.194	27.4344	27.6139	27.3333	28.5127	28.3068	4.12E-07	0.00017664	1.9393E-05	3.8656E-05	0.00045691	0.0001574	0.00015306	1.3894E-05	6.515E-06	2.9759E-05	0.040949	0.10459	0.13732	0.091086	0.10085	0.22508	0.23609	0.11119	0.0010661	0.040949	189.5063	189.8935	189.7232	188.587	189.4835	183.792	182.3264	189.6095	101.2817	151.9316	-0.13728	-0.13728	-0.13728	-0.13728	-0.13728	-0.13728	-0.13728	-0.13728	8.3303	2.5212
datasets/TARA_SAMPLES_CONTEXT_ENV-WATERCOLUMN_2.tab:TARA_A100001392	SAMEA2619815	ERS488558	SV Tara	TARA_20100108Z	TARA_031	High Volume Peristaltic Pump	TARA_20100109T0715Z_031_EVENT_PUMP	2010-01-09T07:15	27.16	34.835	[SRF] surface water layer (ENVO:00010504)	5	3	7	<0.22	0.22	TARA_031_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20100109T0715Z_031_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_A100001392	discrete depth	within the epipelagic zone (ENVO:00000209)	at the top of the photic zone (ENVO:00000209)	none	none	none	none	none	none	none	none	presence of a strong peak in chlorophyll fluorescence at the sampling location		0.033365	0.034615	0.036789244040847	0.053215360268951	0.000741529394872	0.014418555889279	0.077421442	0.061797566		83.3841743469238		55	69	47	53	80	89	60	293	160	25.0581	24.5962	24.5032	25.0366	24.889	24.4495	23.9775	24.565	21.679	22.0808	40.1724	40.2694	40.3009	40.198	40.23	40.3667	40.4131	40.2815	40.6916	40.582	27.0952	27.3144	27.3677	27.1238	27.194	27.4344	27.6139	27.3333	28.5127	28.3068	4.12E-07	0.00017664	1.9393E-05	3.8656E-05	0.00045691	0.0001574	0.00015306	1.3894E-05	6.515E-06	2.9759E-05	0.040949	0.10459	0.13732	0.091086	0.10085	0.22508	0.23609	0.11119	0.0010661	0.040949	189.5063	189.8935	189.7232	188.587	189.4835	183.792	182.3264	189.6095	101.2817	151.9316	-0.13728	-0.13728	-0.13728	-0.13728	-0.13728	-0.13728	-0.13728	-0.13728	8.3303	2.5212
